HRRR Wind Profile for 35.1983°N, -111.6513°E
Forecast: 6 hours from now
============================================================
 Altitude_ft  Wind_Speed_kts  Wind_Direction_deg
           0        3.735160          312.767995
        1000        3.739104          312.710486
        2000        3.743048          312.652976
        3000        3.752271          312.694010
        4000        3.766779          312.833690
        5000        3.796968          312.677403
        6000        3.883366          311.460244
        7000        3.969765          310.243085
        8000        4.056164          309.025926
        9000        4.142563          307.808767
       10000        4.229233          305.621401
       11000        4.317966          296.047033
       12000        4.406698          286.472665
       13000        4.495431          276.898297
       14000        4.584164          267.323930
       15000        4.672897          257.749562
