Altitude_ft_AGL,Wind_Speed_kts,Wind_Direction_deg,Valid_Zulu_Time,Altitude_Reference,Ground_Elevation_MSL_ft
0,4.327451557183659,300.6839101360799,2025-06-29 12:00Z,AGL,1000.0
1000,6.994441381177372,296.84025177575495,2025-06-29 12:00Z,AGL,1000.0
2000,8.447152482345285,285.6116982987648,2025-06-29 12:00Z,AGL,1000.0
3000,8.68431653314591,266.99053610057075,2025-06-29 12:00Z,AGL,1000.0
4000,9.047444811361517,252.38350304822492,2025-06-29 12:00Z,AGL,1000.0
5000,9.86208346079689,252.1648481724474,2025-06-29 12:00Z,AGL,1000.0
6000,10.676722110232266,251.94619329666986,2025-06-29 12:00Z,AGL,1000.0
7000,11.49136075966764,251.72753842089233,2025-06-29 12:00Z,AGL,1000.0
8000,12.305999409103013,251.5088835451148,2025-06-29 12:00Z,AGL,1000.0
9000,13.02202470636951,251.3372968785666,2025-06-29 12:00Z,AGL,1000.0
10000,12.987223344342759,251.52408020469508,2025-06-29 12:00Z,AGL,1000.0
